No. de documento,Revisión,Título,Tipo,,Estatus,Archivo,Fecha del hito,Fecha prevista de envío,Creado por,Notas adicionales,Adherencia Metodologica,Area Emisora,Código División,Código/Nombre Alternativo,Emisor/Origen,Especialidad,Estatus de Revisión,Fase,Gerencia/API,Nro. de Contrato,Proveedor,Rendición,Tipo de Documento,WBS,Sustituir,PathdeArchivo,enviado,procesado,peso,fecha_inicio,fecha_termino,existe_doc,Version
4600016256-166-00000-EDPGP-00001,0,ESTADO DE PAGO No1,Documento Externo,PARA INFORMACION,Emitido para información,09024abd9071f6fe.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166-8114-EP-TP-00001_0,00000 - GENERAL,00000 - GENERAL,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Main Content,EDP00 - ESTADO DE PAGO,00000 - GENERAL,,F:\00000 - GENERAL\09024abd9071f6fe.pdf,,,,,,,14
4600016256-166-00000-ODSGP-00001,0,ORDEN DE SERVICIO No166,Documento Externo,PARA INFORMACION,Emitido para información,09024abd9071f367.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,ORDEN DE SERVICIO No166,00000 - GENERAL,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Main Content,ODSGP - ORDEN DE SERVICIO,00000 - GENERAL,,F:\GP - GESTION DE PROYECTOS\09024abd9071f367.pdf,,,,,,,14
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,06024abd8b494db8.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Copia Controlada,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\06024abd8b494db8.pdf,,,,,,,19
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,06024abd8b494e33.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Con Anotaciones,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\06024abd8b494e33.pdf,,,,,,,15
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,06024abd8b494e7b.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Copia No Controlada,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\06024abd8b494e7b.pdf,,,,,,,19
4600016256-166-00000-RCPCL-00001,0,FICHA DE CIERRE ODS No 166,Documento Externo,PARA APROBACION,Emitido para aprobación,09024abd96defbb9.pdf,,,Candia Zlatar Fernanda (Contratista-Andina),,N/A,EMPRESAS DE INGENIERIA,,4600016256-166,00000 - GENERAL,CL - CALIDAD,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600016256-166 - GEOSUPPORT - SERVICIO DE ESCÁNER PARA LÍNEAS DE CONCENTRADO,N/A,Main Content,RCPCL - REPORTES,00000 - GENERAL,,F:\CL - CALIDAD\09024abd96defbb9.pdf,,,,,,,14
4600017472-038-05283-ACTGP-00001,0,ACTA DE INICIO DE ACTIVIDADES,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c993301.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,ACTGP - ACTA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c993301.pdf,,,,,,,14
4600017472-038-05283-ACTGP-00002,0,ACTA DE ENTREGA DE TERRENO,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c993312.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,ACTGP - ACTA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c993312.pdf,,,,,,,14
4600017472-038-05283-ACTGP-00003,0,ACTA DE RECEPCIÓN DEFINITIVA,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d2f42f5.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,ACTGP - ACTA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d2f42f5.pdf,,,,,,,14
4600017472-038-05283-AUDGP-00001,-,FICHA DOCUMENTAL ODS-38,Documento Externo,PARA REVISION,Emitido para Revisión,09024abd8d8d466f.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,AUDGP - AUDITORIAS,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d8d466f.pdf,,,,,,,14
4600017472-038-05283-EDPGP-00001,0,ESTADO DE PAGO No1,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d339733.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,EDPGP - ESTADO DE PAGO,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d339733.pdf,,,,,,,14
4600017472-038-05283-EDPGP-00002,0,ESTADO DE PAGO No2,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d33977a.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,EDPGP - ESTADO DE PAGO,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d33977a.pdf,,,,,,,14
4600017472-038-05283-EVTGP-00001,0,EVALUACIÓN ODS-38,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d307f1f.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,EVTGP - EVALUACION TECNICA,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d307f1f.pdf,,,,,,,14
4600017472-038-05283-INFGP-00001,0,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87945c12.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Copia Controlada,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87945c12.pdf,,,,,,,19
4600017472-038-05283-INFGP-00001,0,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87d1ae64.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Con Anotaciones,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87d1ae64.pdf,,,,,,,15
4600017472-038-05283-INFGP-00001,B,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA REVISION,Emitido para Revisión,09024abd8c7222cf.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c7222cf.pdf,,,,,,,14
4600017472-038-05283-INFGP-00001,0,INFORME SEMANAL No1_18/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d33a552.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d33a552.pdf,,,,,,,14
4600017472-038-05283-INFGP-00002,0,INFORME SEMANAL No2_25/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87945c13.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Copia Controlada,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87945c13.pdf,,,,,,,19
4600017472-038-05283-INFGP-00002,0,INFORME SEMANAL No2_25/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87d1aef0.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Con Anotaciones,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87d1aef0.pdf,,,,,,,15
4600017472-038-05283-INFGP-00002,B,INFORME SEMANAL No2_25/04/2021,Documento Externo,PARA REVISION,Emitido para Revisión,09024abd8c722340.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c722340.pdf,,,,,,,14
4600017472-038-05283-INFGP-00002,0,INFORME SEMANAL No2_25/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d33a5f0.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d33a5f0.pdf,,,,,,,14
4600017472-038-05283-INFGP-00003,0,INFORME SEMANAL No3_02/05/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87945c14.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Copia Controlada,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87945c14.pdf,,,,,,,19
4600017472-038-05283-INFGP-00003,0,INFORME SEMANAL No3_02/05/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87d1afca.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Con Anotaciones,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87d1afca.pdf,,,,,,,15
4600017472-038-05283-INFGP-00003,B,INFORME SEMANAL No3_02/05/2021,Documento Externo,PARA REVISION,Emitido para Revisión,09024abd8c7223e5.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c7223e5.pdf,,,,,,,14
4600017472-038-05283-INFGP-00003,0,INFORME SEMANAL No3_02/05/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8d33a6b5.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8d33a6b5.pdf,,,,,,,14
4600017472-038-05283-INFGP-00004,0,INFORME DIARIO No 01_13/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c831acb.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c831acb.pdf,,,,,,,14
4600017472-038-05283-INFGP-00005,0,INFORME DIARIO No 02_14/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c831af6.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c831af6.pdf,,,,,,,14
4600017472-038-05283-INFGP-00006,0,INFORME DIARIO No 03_15/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c831b0c.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c831b0c.pdf,,,,,,,14
4600017472-038-05283-INFGP-00007,0,INFORME DIARIO No 04_16/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c831b22.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c831b22.pdf,,,,,,,14
4600017472-038-05283-INFGP-00008,0,INFORME DIARIO No 05_17/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c831b36.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c831b36.pdf,,,,,,,14
4600017472-038-05283-INFGP-00009,0,INFORME DIARIO No 06_19/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c835cbb.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c835cbb.pdf,,,,,,,14
4600017472-038-05283-INFGP-00010,0,INFORME DIARIO No 07_20/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c835cdf.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c835cdf.pdf,,,,,,,14
4600017472-038-05283-INFGP-00011,0,INFORME DIARIO No 08_21/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c835d05.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c835d05.pdf,,,,,,,14
4600017472-038-05283-INFGP-00012,0,INFORME DIARIO No 09_22/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c835d27.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c835d27.pdf,,,,,,,14
4600017472-038-05283-INFGP-00013,0,INFORME DIARIO No 10_23/04/2021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c835d59.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c835d59.pdf,,,,,,,14
4600017472-038-05283-INFGP-00014,0,INFORME DIARIO No 11_24/0472021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c836d9c.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c836d9c.pdf,,,,,,,14
4600017472-038-05283-INFGP-00015,0,INFORME DIARIO No 12_25/0472021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c836db7.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c836db7.pdf,,,,,,,14
4600017472-038-05283-INFGP-00016,0,INFORME DIARIO No 13_26/0472021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c836de4.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c836de4.pdf,,,,,,,14
4600017472-038-05283-INFGP-00017,0,INFORME DIARIO No 14_27/0472021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c836e10.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c836e10.pdf,,,,,,,14
4600017472-038-05283-INFGP-00018,0,INFORME DIARIO No 15_28/0472021,Documento Externo,PARA INFORMACION,Emitido para información,09024abd8c836e34.pdf,,,Vásquez Contreras Tamara Gabriela,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,FIRMADO,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Main Content,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\09024abd8c836e34.pdf,,,,,,,14
4600017472-038-05283-INFGP-00019,0,INFORME SEMANAL No4_09/05/2021,Documento Externo,PARA INFORMACION,Emitido para información,06024abd87945c15.pdf,,,dmadmin,,N/A,EMPRESAS CONSTRUCCIÓN,,,05283 - PLANTA DE ÁCIDO SULFÚRICO,GP - GESTION DE PROYECTOS,SIN OBSERVACIONES,EJECUCION,Gerencia Proyectos Divisionales Andina,4600017472-038 - MIES - REEMPLAZO ESTANQUE ACIDO SULFURICO PMFC,N/A,Copia Controlada,INFGP - INFORME,05283 - PLANTA DE ÁCIDO SULFÚRICO,,F:\GP - GESTION DE PROYECTOS\06024abd87945c15.pdf,,,,,,,19
